Id,Category
0,1
1,1
2,1
3,0
4,1
5,0
6,0
7,1
8,0
9,1
10,0
11,1
12,0
13,1
14,1
15,1
16,1
17,1
18,1
19,0
20,0
21,1
22,1
23,0
24,1
25,0
26,1
27,1
28,1
29,1
30,1
31,0
32,0
33,1
34,0
35,1
36,1
37,0
38,0
39,1
40,1
41,0
42,0
43,1
44,1
45,0
46,1
47,0
48,1
49,1
50,0
51,1
52,0
53,0
54,1
55,1
56,1
57,1
58,1
59,0
60,1
61,1
62,1
63,0
64,0
65,1
66,1
67,0
68,1
69,0
70,0
71,1
72,0
73,1
74,0
75,1
76,0
77,1
78,1
79,1
80,0
81,1
82,1
83,1
84,1
85,0
86,1
87,0
88,0
89,0
90,0
91,1
92,1
93,0
94,1
95,0
96,1
97,0
98,1
99,0
100,1
101,0
102,0
103,0
104,1
105,1
106,1
107,1
108,1
109,0
110,1
111,0
112,0
113,0
114,1
115,1
116,1
117,0
118,0
119,0
120,0
121,0
122,1
123,1
124,1
125,0
126,0
127,0
128,0
129,1
130,0
131,1
132,0
133,1
134,0
135,0
136,0
137,0
138,0
139,1
140,0
141,1
142,0
143,1
144,0
145,0
146,1
147,1
148,0
149,0
150,1
151,0
152,1
153,0
154,0
155,1
156,1
157,0
158,1
159,1
160,1
161,0
162,0
163,0
164,0
165,0
166,1
167,1
168,0
169,0
170,0
171,1
172,0
173,0
174,1
175,1
176,0
177,0
178,1
179,0
180,0
181,0
182,1
183,0
184,1
185,1
186,1
187,1
188,1
189,0
190,0
191,1
192,1
193,0
194,0
195,0
196,1
197,0
198,1
199,1
200,1
201,0
202,0
203,0
204,1
205,1
206,0
207,0
208,1
209,1
210,1
211,0
212,0
213,0
214,1
215,0
216,1
217,1
218,1
219,1
220,0
221,0
222,0
223,0
224,1
225,1
226,0
227,1
228,0
229,1
230,1
231,1
232,0
233,0
234,1
235,0
236,1
237,0
238,0
239,1
240,0
241,0
242,1
243,0
244,1
245,1
246,1
247,1
248,1
249,1
250,0
251,1
252,1
253,0
254,0
255,0
256,0
257,0
258,0
259,0
260,0
261,1
262,1
263,0
264,0
265,0
266,0
267,1
268,0
269,1
270,1
271,0
272,1
273,0
274,0
275,0
276,1
277,0
278,1
279,0
280,1
281,1
282,0
283,1
284,1
285,1
286,0
287,0
288,1
289,0
290,1
291,1
292,1
293,0
294,0
295,1
296,0
297,0
298,1
299,0
300,0
301,1
302,0
303,0
304,0
305,1
306,0
307,0
308,1
309,0
310,1
311,1
312,0
313,1
314,0
315,1
316,0
317,0
318,1
319,1
320,1
321,0
322,0
323,1
324,1
325,0
326,0
327,0
328,0
329,0
330,0
331,1
332,1
333,1
334,1
335,0
336,1
337,0
338,1
339,1
340,0
341,1
342,0
343,0
344,0
345,0
346,1
347,0
348,1
349,1
350,0
351,1
352,0
353,1
354,0
355,1
356,1
357,0
358,1
359,0
360,0
361,0
362,1
363,0
364,1
365,1
366,0
367,1
368,1
369,0
370,0
371,0
372,1
373,1
374,0
375,0
376,1
377,0
378,0
379,0
380,1
381,0
382,1
383,1
384,1
385,1
386,0
387,0
388,0
389,0
390,0
391,0
392,1
393,1
394,1
395,0
396,0
397,0
398,0
399,1
400,1
401,1
402,1
403,0
404,1
405,0
406,1
407,0
408,1
409,1
410,1
411,0
412,1
413,0
414,1
415,1
416,1
417,0
418,0
419,1
420,1
421,1
422,1
423,0
424,1
425,1
426,0
427,1
428,1
429,1
430,1
431,0
432,0
433,0
434,1
435,1
436,0
437,0
438,1
439,1
440,1
441,0
442,1
443,0
444,0
445,0
446,1
447,0
448,0
449,1
450,1
451,1
452,0
453,1
454,0
455,0
456,0
457,0
458,1
459,0
460,1
461,1
462,1
463,1
464,0
465,0
466,1
467,1
468,1
469,0
470,0
471,0
472,0
473,1
474,0
475,1
476,0
477,1
478,1
479,0
480,0
481,1
482,1
483,1
484,0
485,1
486,1
487,1
488,0
489,0
490,1
491,0
492,0
493,1
494,0
495,0
496,0
497,0
498,1
499,1
500,1
501,1
502,1
503,0
504,0
505,1
506,0
507,0
508,0
509,1
510,0
511,0
512,1
513,0
514,0
515,0
516,0
517,1
518,0
519,1
520,0
521,0
522,0
523,0
524,1
525,1
526,0
527,1
528,0
529,1
530,1
531,0
532,0
533,0
534,1
535,0
536,1
537,1
538,1
539,0
540,1
541,0
542,0
543,0
544,1
545,1
546,0
547,1
548,1
549,0
550,1
551,1
552,0
553,1
554,1
555,0
556,0
557,1
558,1
559,1
560,1
561,0
562,0
563,1
564,0
565,1
566,0
567,0
568,0
569,1
570,1
571,1
572,1
573,1
574,0
575,1
576,1
577,0
578,1
579,0
580,1
581,1
582,0
583,1
584,1
585,0
586,1
587,1
588,1
589,1
590,0
591,0
592,0
593,1
594,0
595,0
596,1
597,0
598,1
599,0
600,0
601,0
602,1
603,0
604,1
605,0
606,0
607,1
608,0
609,0
610,0
611,0
612,1
613,0
614,0
615,0
616,0
617,0
618,0
619,1
620,1
621,1
622,0
623,1
624,1
625,1
626,1
627,1
628,0
629,1
630,1
631,1
632,0
633,1
634,1
635,1
636,0
637,1
638,0
639,0
640,0
641,1
642,0
643,1
644,0
645,1
646,1
647,1
648,1
649,0
650,1
651,0
652,1
653,0
654,0
655,1
656,0
657,0
658,1
659,1
660,1
661,0
662,1
663,1
664,0
665,0
666,0
667,0
668,1
669,0
670,0
671,1
672,1
673,1
674,1
675,1
676,0
677,1
678,0
679,1
680,1
681,1
682,0
683,1
684,1
685,1
686,1
687,1
688,0
689,0
690,0
691,1
692,1
693,1
694,1
695,0
696,1
697,0
698,1
699,1
700,0
701,1
702,1
703,0
704,0
705,0
706,1
707,1
708,0
709,0
710,1
711,1
712,1
713,0
714,1
715,1
716,1
717,1
718,1
719,0
720,1
721,1
722,0
723,0
724,1
725,1
726,0
727,1
728,0
729,0
730,0
731,1
732,1
733,0
734,1
735,1
736,0
737,1
738,0
739,0
740,1
741,1
742,1
743,0
744,1
745,1
746,1
747,0
748,1
749,1
750,0
751,1
752,0
753,0
754,1
755,1
756,1
757,1
758,0
759,1
760,1
761,0
762,1
763,0
764,1
765,1
766,1
767,0
768,1
769,1
770,1
771,1
772,1
773,1
774,1
775,0
776,0
777,1
778,0
779,1
780,0
781,0
782,1
783,0
784,0
785,1
786,1
787,0
788,1
789,0
790,1
791,0
792,1
793,1
794,0
795,0
796,1
797,1
798,1
799,1
800,0
801,0
802,1
803,0
804,0
805,1
806,0
807,0
808,1
809,0
810,1
811,1
